,ROWTIME,ROWKEY,RESPONSE,CPK,CPK_CLASS,PRODUCT_CLASS,SUM_SENSOR1,SUM_SENSOR2,SUM_SENSOR3,SUM_SENSOR4,SUM_SENSOR5,SUM_SENSOR7,SUM_SENSOR49
1,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
2,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
3,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
4,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
5,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
6,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
7,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
8,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
9,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
10,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
11,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
12,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
13,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
14,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
15,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
16,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
17,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
18,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
19,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
20,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
21,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
22,1647262886351,,0.423,0.533135509,bad,good,495.0104,495,11625.1329,3470.0313,3470,2117.11206,30158
23,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
24,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
25,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
26,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
27,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
28,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
29,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
30,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
31,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
32,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
33,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
34,1647262886351,,0.423,0.533135509,bad,good,495.0104,495,11625.1329,3470.0313,3470,2117.11206,30158
35,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
36,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
37,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
38,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
39,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
40,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
41,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
42,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
43,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
44,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
45,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
46,1647262886351,,0.423,0.533135509,bad,good,495.0104,495,11625.1329,3470.0313,3470,2117.11206,30158
47,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
48,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
49,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
50,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
51,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
52,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
53,1647262490778,,0.3852,0.327945655,bad,good,509.8865,510,11774.6335,3510.3285,3510,2157.82322,30389
54,1647262519806,,0.3906,8.780864198,good,good,495.0076,495,11700.0982,3510.8841,3520,2224.74306,31637
55,1647262590956,,0.4356,15.55555556,good,good,466.5605,495,12000.827,3519.9602,3520,2158.15667,31576
56,1647262646031,,0.405,0.215657552,bad,good,494.9981,495,11624.9584,3515.3247,3520,2222.57378,31016
57,1647262781192,,0.378,0.539961014,bad,good,902.316571,917,2391.2544,7521.927544,7549,1662.06674,30581
58,1647262886351,,0.423,0.533135509,bad,good,495.0104,495,11625.1329,3470.0313,3470,2117.11206,30158
59,1647260135667,,0.432,0.215657552,bad,good,509.5524,510,11625.4316,3485.05,3485,2166.66184,31534
60,1647262078982,,0.4446,0.535889872,bad,good,507.9538,510,11566.345,3486.1538,3485,2172.56883,30179
61,1647262089998,,0.3942,0.471566054,bad,good,915.196473,930,2344.9741,7520.242789,7503,1608.75471,30979
62,1647262101006,,0.4176,21.70542636,good,good,495.587953,510,11484.33452,3466.5904,3460,2102.99186,29574
63,1647262348455,,0.4086,0.24435283,bad,good,461.163,495,11623.27513,3470.037,3470,2128.44928,31438
64,1647262365476,,0.405,3.473748474,good,good,496.03678,510,11484.56974,3490.8716,3485,2144.15453,31896
